name;address;id
Phòng Kiểm định xe cơ giới (VAR) 1000V – Cục Đăng kiểm Việt Nam;35/10 - 35/12 Đường D5, P25, Q.Bình Thạnh, TP HCM;1000V
Trung Tâm đăng kiểm xe cơ giới 1101S - Cao Bằng;Km4 - P. Sông Hiến - TP. Cao Bằng;1101S
Trung tâm đăng kiểm xe cơ giới 1102D - Cao Bằng trực thuộc công ty TNHH đăng kiểm Cao Bằng;Tổ 8, phường Ngọc Xuân, TP. Cao Bằng;1102D
Trung tâm đăng kiểm xe cơ giới 1201D, trực thuộc công ty cổ phần đăng kiểm xe cơ giới  Lạng Sơn;50 Lê Đại Hành - Phường Vĩnh Trại - Lạng Sơn;1201D
Trung tâm đăng kiểm xe cơ giới 1202D, trực thuộc công ty cổ phần đăng kiểm xe cơ giới  Lạng Sơn;tổ 5, khối 1+2, thị trấn Cao Lộc, huyện Cao Lộc, tỉnh Lạng Sơn;1202D
Trung Tâm đăng kiểm xe cơ giới Hạ Long 1401D - Quảng Ninh;Phường Hà Phong - Thành phố Hạ Long - Quảng Ninh;1401D
Trung Tâm đăng kiểm xe cơ giới Uông Bí 1402D - Quảng Ninh;Phường Thanh Sơn - T.p Uông Bí - Quảng Ninh;1402D
Trung Tâm đăng kiểm xe cơ giới Móng Cái 1403D - Quảng Ninh;Km 9, xã Hải Đông – T.p Móng Cái - Quảng Ninh;1403D
Trung Tâm đăng kiểm xe cơ giới Móng Cái 1404D - Quảng Ninh;Tổ 5, khu 11, Phường Mông Dương, Tp. Cẩm Phả, tỉnh Quảng Ninh;1404D
Trung Tâm đăng kiểm xe cơ giới Móng Cái 1405D - Quảng Ninh;Ô đất số 9,10,34 và 35, lô ĐNN_D thuộc Cụm Công nghiệp Hà Khánh, Tp. Hạ Long, tỉnh Quảng Ninh;1405D
Trung Tâm đăng kiểm xe cơ giới Móng Cái 1406D - Quảng Ninh;Khu CN Cái Lân, phường Giếng Đáy, Tp. Hạ Long, tỉnh Quảng Ninh;1406D
Trung Tâm đăng kiểm xe cơ giới Móng Cái 1407D - Quảng Ninh;Tổ 1, khu 4, P. Quang Hanh, Tp. Cẩm Phả, tỉnh Quảng Ninh;1407D
Trung Tâm đăng kiểm xe cơ giới 1501V - Hải Phòng;Km 90 QL 5 mới, Khu Cam Lộ 2, Hồng Bàng, Hải Phòng;1501V
Trung Tâm đăng kiểm xe cơ giới 1502S - Hải Phòng;Khu Hạ Đoạn 2, P. Đông Hải 2, Q. Hải An, Hải Phòng;1502S
Trung Tâm đăng kiểm xe cơ giới 1503D - Hải Phòng;Kênh Giang, Thuỷ Nguyên, Hải Phòng;1503D
Trung Tâm đăng kiểm xe cơ giới 1504D - Hải Phòng;Cụm CN Cầu Nghìn, xã Hưng Nhân, huyện Vĩnh Bảo, TP Hải Phòng;1504D
Trung Tâm đăng kiểm xe cơ giới 1505D - Hải Phòng;Số 01 đường Lê Thánh Tông, phường Máy Tơ, quận Ngô Quyền, Tp. Hải Phòng;1505D
Trung Tâm đăng kiểm xe cơ giới 1506D - Hải Phòng;Lô Cn 3.2H khu công nghiệp Đình Vũ, P. Đông Hải, Q. Hải An, Tp. Hải Phòng;1506D
Trung Tâm đăng kiểm xe cơ giới 1507D - Hải Phòng;Tổ dân phố Đồng Tâm, phường Đồng Hòa, quận Kiến An, Tp. Hải Phòng;1507D
Trung Tâm đăng kiểm xe cơ giới 1701D - Thái Bình;Phường Trần Hưng Đạo, TP Thái Bình;1701D
Trung Tâm đăng kiểm xe cơ giới 1702D - Thái Bình;Thôn Nam quán, xã Đông Các, huyên Đông Hưng, TP Thái Bình;1702D
Trung Tâm đăng kiểm xe cơ giới 1801S - Nam Định;Km 101, QL10, xã Mỹ Tân, Mỹ Lộc, TP Nam Định;1801S
Trung Tâm đăng kiểm xe cơ giới 1802S - Nam Định;Số 3 Quang Trung, TP. Nam Định;1802S
Trung Tâm đăng kiểm xe cơ giới 1802D - Nam Định (Công ty Cổ phần phát triển công nghệ điện thông);Km 150+800 (Phải tuyến) QL 21 (Đường Lê Đức Thọ), xã Nghĩa An, huyện Nam Trực, tỉnh Nam Định;1802D
Trung Tâm đăng kiểm xe cơ giới 1803D - Nam Định;xã Hải Thanh, huyện Hải Hậu, tỉnh Nam Định;1803D
Trung Tâm đăng kiểm xe cơ giới 1804D - Nam Định;Km3, Đại Lộ Thiên Trường, xã Mỹ Hưng, huyện Mỹ Lộc, Tp. Nam Định;1804D
Trung Tâm đăng kiểm xe cơ giới 1805D - Nam Định;thửa đất số 350, tờ bản đồ số 5, Đại lộ Thiên Trường, Lộc Hòa, Tp. Nam Định;1805D
Trung Tâm đăng kiểm xe cơ giới 1901V - Phú Thọ;2821, đại lộ Hùng Vương, p. Vân Cơ, TP. Việt Trì, Phú Thọ;1901V
Trung Tâm đăng kiểm xe cơ giới 1902D - Phú Thọ;QL2, Khu 3, xã Phú Hộ, thị xã Phú Thọ, tỉnh Phú Thọ;1902D
Trung Tâm đăng kiểm xe cơ giới 1904D - Phú Thọ;Khu 4, xã Kinh Kệ, huyện Lâm Thao, tỉnh Phú Thọ;1904D
Trung Tâm đăng kiểm xe cơ giới 1905D - Phú Thọ;Khu Bãi Tần, thị trấn Thanh Sơn, huyện Thanh Sơn, tỉnh Phú Thọ;1905D
Trung Tâm đăng kiểm xe cơ giới 1906D - Phú Thọ;Khu Hóc Tranh, xóm Mai, xã Trưng Vương, Tp. Việt Trì, tỉnh Phú Thọ;1906D
Trung Tâm đăng kiểm xe cơ giới 1908D - Phú Thọ;Khu 7, xã Phượng Lâu, Tp. Việt Trì, tỉnh Phú Thọ;1908D
Trung Tâm đăng kiểm xe cơ giới 2001S - Thái Nguyên;Tổ 1A, Phường Tân lập - TP Thái Nguyên;2001S
Trung Tâm đăng kiểm xe cơ giới 2002S - Thái Nguyên;Xóm Ao Vàng, Xã Cao Ngạn, TP Thái Nguyên;2002S
Trung Tâm đăng kiểm xe cơ giới 2003D - Thái Nguyên;Cụm công nghiệp Nguyên Gon, phường Cải Đan, TP. Sông Công, tỉnh Thái Nguyên;2003D
Trung Tâm đăng kiểm xe cơ giới 2004D - Thái Nguyên;Xóm 9, xã Cổ Lũng, huyện Phú Lương, tỉnh Thái Nguyên;2004D
Trung Tâm đăng kiểm xe cơ giới 2005D - Thái Nguyên;Ngõ 845, đường Dương Tự Minh, tổ 6, phường Quang Vinh,T.p Thái Nguyên, tỉnh Thái Nguyên;2005D
Trung Tâm đăng kiểm xe cơ giới 2006D - Thái Nguyên;Ngõ 398, đường Thống Nhất, phường Đồng Quang, Tp. Thái Nguyên, tỉnh Thái Nguyên;2006D
Trung Tâm đăng kiểm xe cơ giới 2007D - Thái Nguyên;Tổ 2, phường Cam Giá, Tp. Thái Nguyên, tỉnh Thái Nguyên;2007D
Trung Tâm đăng kiểm xe cơ giới 2008D - Thái Nguyên;Tổ dân phố Đình, phường Nam Tiến, thành phố Thái Nguyên, tỉnh Thái Nguyên;2008D
Trung Tâm đăng kiểm xe cơ giới 2009D - Thái Nguyên;Xã Sơn Cẩm, Tp. Thái Nguyên, tỉnh Thái Nguyên;2009D
Trung Tâm đăng kiểm xe cơ giới 2101S - Yên Bái;Km2 - Phường Nguyễn Thái Học - TP Yên Bái;2101S
Trung Tâm đăng kiểm xe cơ giới 2102D - Yên Bái;bản Nà Làng, xã Nghĩa Lợi, TX. Nghĩa Lộ, tỉnh Yên Bái;2102D
Trung Tâm đăng kiểm xe cơ giới 2201S - Tuyên Quang;Thôn Yên Phú, xã An Tường - TP. Tuyên Quang;2201S
Trung Tâm đăng kiểm xe cơ giới 2202D - Tuyên Quang;Thôn Lượng, xã Tứ Quận, huyện Yên Sơn, tỉnh Tuyên Quang;2202D
Trung Tâm đăng kiểm xe cơ giới 2203D - Tuyên Quang;Tổ 16, phường Tân Hà, Tp. Tuyên Quang, tỉnh Tuyên Quang;2203D
Trung Tâm đăng kiểm xe cơ giới 2301S - Hà Giang;Tổ 17 - Phường Nguyễn Trãi - TP. Hà Giang;2301S
Công ty cổ phần đăng kiểm xe cơ giới giao thông Lào Cai - 2401D;Phường Bắc Cường - Tp Lào Cai - Tỉnh Lào Cai;2401D
Công ty cổ phần đăng kiểm xe cơ giới Bảo Thắng- 2403D;Quốc lộ 4E, thôn Tiến Lợi, xã Xuân Giao, huyện Bảo Thắng, tỉnh Lào Cai;2403D
Trung tâm đăng kiểm xe cơ giới 2404D - Công ty cổ phần Kinh doanh kỹ thuật giao thông Kim Thành;Lô 21, KCN Bắc Duyên Hải, Tp. Lào Cai, tỉnh Lào Cai;2404D
Trung Tâm đăng kiểm xe cơ giới 2501S - Lai Châu;Phường Tân Phong, Thị xã Lai Châu, Lai Châu;2501S
Trung Tâm đăng kiểm xe cơ giới 2602D - Sơn La (Công ty cổ phần đăng kiểm cơ giới thủy bộ Sơn La);Tổ 8 Phường Quyết Thắng - TP. Sơn La - Tỉnh Sơn La;2602D
Trung Tâm đăng kiểm xe cơ giới 2601D - Sơn La;bản Noọng La, phường chiềng Sinh - TP Sơn La;2601D
Trung Tâm đăng kiểm xe cơ giới 2603D - Sơn La;Km177, Quốc lộ 6, Bản Chiềng Đi 1, xã Vân Hồ, huyện Vân Hồ, tỉnh Sơn La;2603D
Trung Tâm đăng kiểm xe cơ giới 2701S - Điện Biên;Phố 10 - phường Thanh Trườn - thành phố Điện Biên Phủ - tỉnh Điện Biên;2701S
Trung Tâm đăng kiểm xe cơ giới 2801S - Hoà Bình;Km 71+100 - Quốc lộ 6 - P.Đồng Tiến - TP Hòa Bình;2801S
Trung Tâm đăng kiểm xe cơ giới 2901S - Hà Nội;Số 454 Phạm Văn Đồng - Từ Liêm - Hà Nội;2901S
Trung Tâm đăng kiểm xe cơ giới 2901V - Hà Nội;Km 15+200 Quốc lộ 1A, Thôn Yên Phú - Xã Liên Ninh - Thanh Trì - Hà Nội;2901V
Trung Tâm đăng kiểm xe cơ giới 2902S - Hà Nội;Đường Đặng Phúc Thông- Yên Viên- Gia Lâm-Hà Nội.;2902S
Trung Tâm đăng kiểm xe cơ giới 2902V - Hà Nội;Xã Phú Thị, Huyện Gia Lâm - Hà Nội;2902V
Trung Tâm đăng kiểm xe cơ giới 2903S - Hà Nội;Số 3 Lê Quang Đạo - Mỹ Đình - Nam Từ Liên - Hà Nội;2903S
Trung Tâm đăng kiểm xe cơ giới 2903V - Hà Nội;Láng Thượng - Đống Đa - Hà Nội;2903V
Trung Tâm đăng kiểm xe cơ giới 2904V - Hà Nội;Km 8, đường Bắc Thăng Long – Nội Bài, Xã Quang Minh, Huyện Mê Linh, Hà Nội;2904V
Trung Tâm đăng kiểm xe cơ giới 2905V - Hà Nội;Số 49 Phố Đức Giang, Phường Đức Giang, Quận Long Biên, Hà Nội;2905V
Trung Tâm đăng kiểm xe cơ giới 2906V - Hà Nội;Km 4 - Đường 70 - Xã Tam Hiệp - Thanh trì - Hà Nội;2906V
Trung Tâm đăng kiểm xe cơ giới 2907D - Hà Nội;Km 1, QL3, Du Nội, Mai Lâm, Đông Anh- Hà Nội;2907D
Trung Tâm đăng kiểm xe cơ giới 2908D - Hà Nội;Lô 6, cụm CN Lai Xá, xã Kim Chung, Hoài Đức,Hà Nội;2908D
Trung Tâm đăng kiểm xe cơ giới 2909D - Hà Nội;685, đường Lĩnh Nam, phường Lĩnh Nam, Hoàng Mai, Hà Nội;2909D
Trung Tâm đăng kiểm xe cơ giới 2910D - Hà Nội;Bãi đỗ xe công cộng và dịch vụ Đền Lừ, phường Hoàng Văn Thụ, quận Hoàng Mai, Hà Nội;2910D
Trung Tâm đăng kiểm xe cơ giới 2911D - Hà Nội;Km31, QL 6, xã Đông Sơn, Chương Mỹ, Hà Nội;2911D
Trung Tâm đăng kiểm xe cơ giới 2912D - Hà Nội;Km 21+200 QL3, Mai Đình, Sóc Sơn, Hà Nội;2912D
Trung Tâm đăng kiểm xe cơ giới 2913D - Hà Nội;Thôn Sơn Du, xã Nguyên Khê, Đông Anh, Hà Nội;2913D
Trung Tâm đăng kiểm xe cơ giới 2914D - Hà Nội;Cụm CN Thanh Oai, Bích Hòa, Thanh Oai, Hà Nội;2914D
Trung Tâm đăng kiểm xe cơ giới 2915D - Hà Nội;Km21, xã Hà Hồi, huyện Thường Tín, Tp. Hà Nội;2915D
Trung Tâm đăng kiểm xe cơ giới 2916D – Hà Nội, trực thuộc công ty CP đăng kiểm xe cơ giới Long Biên;144/95 đường Vũ Xuân Thiều, phường Sài Đồng, quận Long Biên, Hà Nội.;2916D
Trung Tâm đăng kiểm xe cơ giới 2917D - Hà Nội;Tổ 16, đường Nguyễn Văn Linh, phường Thạch Bàn, quận Long Biên, Hà Nội;2917D
Trung Tâm đăng kiểm xe cơ giới 2918D - Hà Nội;Km2+100, đường tránh QL32, xã Thanh Mỹ, Tx. Sơn Tây, Tp. Hà Nội;2918D
Trung Tâm đăng kiểm xe cơ giới 2921D - Hà Nội;Ô số 3 lô 5, Cụm công nghiệp An Khánh, huyện An Đức, Tp. Hà Nội;2921D
Trung Tâm đăng kiểm xe cơ giới 2922D - Hà Nội;Khu đất số 10 đường 254 phố Tây Sơn, thị trấn Phùng, huyện Đan Phượng, Tp. Hà Nội;2922D
Trung Tâm đăng kiểm xe cơ giới 2923D - Hà Nội;Km25, Quốc lộ 6, KCN Phú Nghĩa, huyện Chương Mỹ, Tp. Hà Nội;2923D
Trung Tâm đăng kiểm xe cơ giới 2925D - Hà Nội;Đường Trần Vỹ, phường Mai Dịch, quận Cầu Giấy, Thành phố Hà Nội;2925D
Trung Tâm đăng kiểm xe cơ giới 2927D - Hà Nội;Km số 3, đường Phạm Văn Đồng, phường Cổ Nhuế 1, quận Bắc Từ Liêm, Tp Hà Nội;2927D
Trung Tâm đăng kiểm xe cơ giới 2929D - Hà Nội;Số 115. tổ 15, phường Kiến Hưng, quận Hà Đông, Tp. Hà Nội;2929D
Trung Tâm đăng kiểm xe cơ giới 2930D - Hà Nội;Lô 24, cụm CN Yên Nghĩa, P. Yên Nghĩa, Q. Hà Đông, Tp. Hà Nội;2930D
Trung Tâm đăng kiểm xe cơ giới 2932D - Hà Nội;Số 9, tổ 15, đường Pháp Vân, phường Yên Sở, quận Hoàng Mai, Tp. Hà Nội;2932D
Trung Tâm đăng kiểm xe cơ giới 3301S - Hà Nội;Km15 - Quốc lộ 6 - Hà Đông - Hà Nội;3301S
Trung Tâm đăng kiểm xe cơ giới 3302S - Hà Nội;Phường Quang Trung - Thị Xã Sơn tây - Hà Nội;3302S
Công ty cổ phần đăng kiểm xe cơ giới Hải Dương - 3401D;Đường Tân Dân, P. Việt Hòa,TP.Hải Dương;3401D
Trung Tâm đăng kiểm xe cơ giới 3402D - Hải Dương;Km 33+300, cụm CN II, p. Văn An, thị xã Chí Linh,TP.Hải Dương;3402D
Trung Tâm đăng kiểm xe cơ giới 3403D - Hải Dương;thôn Dân, xã Đồng Tâm, huyện Ninh Giang, tỉnh Hải Dương;3403D
Trung Tâm đăng kiểm xe cơ giới 3404D - Hải Dương;Thôn Quỳnh Khê, xã Kim Xuyên, huyên Kim Thành, Tỉnh Hải Dương;3404D
Trung Tâm đăng kiểm xe cơ giới 3405D - Hải Dương;Phân khu 2, đô thị mới phía nam thành phố Hải Dương, xã Liên Hồng, Tp. Hải Dương, tỉnh Hải Dương;3405D
Trung Tâm đăng kiểm xe cơ giới 3407D - Hải Dương;Cụm công nghiệp Ngọc Sơn, xã Ngọc Sơn, Tp. Hải Dương;3407D
Trung Tâm đăng kiểm xe cơ giới 3501D - Ninh Bình (Công ty cổ phần đăng kiểm xe cơ giới Ninh Bình).;Số 58 đường Trần Nhân Tông, phố An Hòa, phường Ninh Phong, TP. Ninh Bình, tỉnh Ninh Bình;3501D
Trung Tâm đăng kiểm xe cơ giới 3502D - Ninh Bình;Phố Bích Sơn, P. Bích Đào, TP Ninh Bình;3502D
Trung Tâm đăng kiểm xe cơ giới 3503D - Ninh Bình;Tổ 2, phường Bắc Sơn, Tp. Tam Điệp, Tỉnh Ninh Bình;3503D
Trung Tâm đăng kiểm xe cơ giới 3504D - Ninh Bình;Thôn Cổ Loan Hạ, giáp đường 477, xã Ninh Tiến, Tp. Ninh Bình, tỉnh Ninh Bình;3504D
Trung Tâm đăng kiểm xe cơ giới 3601S - Thanh Hoá;267 Bà Triệu - Đông Thọ - TP Thanh Hóa;3601S
Trung Tâm đăng kiểm xe cơ giới 3602S - Thanh Hoá;Phường Bắc Sơn - TX Bỉm Sơn - Thanh Hoá;3602S
Trung Tâm đăng kiểm xe cơ giới 3603D - Thanh Hoá;Đường Võ Nguyên Giáp, P. Quảng Thành, T.p Thanh Hoá;3603D
Trung Tâm đăng kiểm xe cơ giới 3604D - Thanh Hoá;Phố 7, Phường Quảng Thắng, T.p Thanh Hóa, tỉnh Thanh Hóa;3604D
Trung Tâm đăng kiểm xe cơ giới 3605D - Thanh Hoá;Xã Thạch Quảng, huyện Thạch Thành, tỉnh Thanh Hóa;3605D
Trung Tâm đăng kiểm xe cơ giới 3606D - Thanh Hoá;Khu phố Ngọc Minh, thị trấn Ngọc Lặc, huyện Ngọc Lặc. Tỉnh Thanh Hóa;3606D
Trung Tâm đăng kiểm xe cơ giới 3608D - Thanh Hoá;Xã Đông Hoàng, huyện Đông Sơn, tỉnh Thanh Hóa;3608D
Trung Tâm đăng kiểm xe cơ giới 3609D - Thanh Hoá;25/38 Phú Thọ 3, Phường Phú Sơn, Tp. Thanh Hóa, tỉnh Thanh Hóa;3609D
Trung Tâm đăng kiểm xe cơ giới 3610D - Thanh Hoá;Quốc lộ 10, xã Liên Lộc, huyện Hậu Lộc, tỉnh Thanh Hóa;3610D
Trung Tâm đăng kiểm xe cơ giới 3701S - Nghệ An;72 Phan Bội Châu - TP Vinh - Nghệ An;3701S
Trung Tâm đăng kiểm xe cơ giới 3702S - Nghệ An;Xã Đông Hiếu – TX Thái Hoà - Nghệ An;3702S
Trung Tâm đăng kiểm xe cơ giới 3703D - Nghệ An;Km 6, QL 46, Nghi Thạch, Nghi Lộc, Nghệ An;3703D
Trung Tâm đăng kiểm xe cơ giới 3704D - Nghệ An;Xã Diễn Hòng, huyện Diễn Châu, tỉnh Nghệ An;3704D
Trung Tâm đăng kiểm xe cơ giới 3705D - Nghệ An;Xóm 1, xã Nghi Long, huyện Nghi Lộc, tỉnh Nghệ An;3705D
Trung Tâm đăng kiểm xe cơ giới 3706D - Nghệ An;QL7B, xã Yên Sơn, huyện Đô Lương, tỉnh Nghệ An;3706D
Trung Tâm đăng kiểm xe cơ giới 3707D - Nghệ An;Xóm 5, xã Quỳnh Lộc, thị xã Hoàng Mai, tỉnh Nghệ An;3707D
Trung Tâm đăng kiểm xe cơ giới 3708D - Nghệ An;Xóm 3, xã Hưng Thịnh, huyện Hưng Nguyên, tỉnh Nghệ An;3708D
Trung Tâm đăng kiểm xe cơ giới 3709D - Nghệ An;Khối 9, phường Quán Bàu, Tp. Vinh, tỉnh Nghệ An;3709D
Công ty cổ phần đăng kiểm Hà Tĩnh - 3801D;Km 9 tránh Hà Tĩnh, xã Thạch Đài, Thạch Hà, Hà Tĩnh;3801D
Trung tâm đăng kiểm xe cơ giới 3802D - Hà Tĩnh;km486+354 QL1A, phường Đậu Liêu, TX. Hồng Lĩnh, tỉnh Hà Tĩnh.;3802D
Trung tâm đăng kiểm xe cơ giới 3803D - Hà Tĩnh;phường Kỳ Trinh, thị xã Kỳ Anh, tỉnh Hà Tĩnh.;3803D
Trung tâm đăng kiểm xe cơ giới 3804D - Hà Tĩnh;Xã Trung Lễ, huyện Đức Thọ, tỉnh Hà Tĩnh;3804D
Trung tâm đăng kiểm xe cơ giới 3805D - Hà Tĩnh;Km821+810, đường Hồ Chí Minh, xã Hương Long, huyện Hương Khê, tỉnh Hà Tĩnh;3805D
Trung Tâm đăng kiểm xe cơ giới 4301S - Đà Nẵng;25 Hoàng Văn Thái - P.Hòa Minh - Q.Liên Chiểu - TP. Đà Nẵng;4301S
Trung Tâm đăng kiểm xe cơ giới 4302S - Đà Nẵng;Km 800 + 40 Xã Hoà Châu – Hoà Vang - Đà Nẵng;4302S
Trung Tâm đăng kiểm xe cơ giới 4304D - Đà Nẵng;Đường số 01, KCN Hòa Cầm, P.Hòa Thọ Tây, Q. Cẩm Lệ, Tp. Đà Nẵng;4304D
Trung Tâm đăng kiểm xe cơ giới 4305D - Đà Nẵng;Số 10B, Tú Mỡ, phường Hòa An, quận Cẩm Lệ, Tp. Đà Nẵng;4305D
Trung Tâm đăng kiểm xe cơ giới 4701D - Đăklăk;Km 4+500 - QL 14 - Tân An - Buôn Mê Thuột - Đăklăk;4701D
Trung Tâm đăng kiểm xe cơ giới 4702D - Đăklăk;Km 12 - QL 14 – Thôn 7- Hoà Phú - Buôn Mê Thuột - Đăklăk;4702D
Trung Tâm đăng kiểm xe cơ giới 4703D - Đăklăk;Thôn 9, xã Ea Đar, Eakar, Đắk lắk;4703D
Trung Tâm đăng kiểm xe cơ giới 4704D - Đăklăk;75 Nguyễn Thị Định, P. Thành Nhất, TP. Buôn Ma Thuột, Đắk lắk;4704D
Trung Tâm đăng kiểm xe cơ giới 4705D - Đăklăk;Thôn Pơng Drang, Krông Buk, Đắk lắk;4705D
Trung Tâm đăng kiểm xe cơ giới 4706D - Đăklăk;Thôn Hòa Thắng, xã Hòa Đông, huyện Krông Pắc, tỉnh Đắk Lắk;4706D
Công ty cổ phần đăng kiểm xe cơ giới ĐakNông - 4801D;Km 3 QL 14, Tổ 4, P Nghĩa Tân, TX Gia Nghĩa, Đak Nông;4801D
Trung Tâm đăng kiểm xe cơ giới 4901S - Lâm Đồng;Số 1 Tô Hiến Thành - P.3 - TP. Đà Lạt;4901S
Trung Tâm đăng kiểm xe cơ giới 4902S - Lâm Đồng;01 Huỳnh Thúc Kháng, P.2, TX Bảo Lộc, Lâm Đồng;4902S
Chi nhánh trung tâm đăng kiểm xe cơ giới Lâm Đồng - 4903S;Thị trấn Liên Nghĩa, Đức Trọng, Lâm Đồng;4903S
Trung Tâm đăng kiểm xe cơ giới 4904D - Lâm Đồng;Số 204 đường Hoàng Văn Thụ, phường 1, Tp. Bảo Lộc, tỉnh Lâm Đồng;4904D
Trung Tâm đăng kiểm xe cơ giới 5001S - T.p HCM;Lô 13, đường số 07, KCN Tân Tạo mở rộng, phường Tân Tạo A, quận Bình Tân, Tp. Hồ Chí Minh;5001S
Trung Tâm đăng kiểm xe cơ giới 5002S - T.p HCM;343/20 Lạc Long Quân - P.5 - Quận 11;5002S
Trung Tâm đăng kiểm xe cơ giới 5003S - T.p HCM;Số 6/6 - QL 13 - P.Hiệp Bình Chánh - Tp.Thủ Đức;5003S
